major,early-career-pay,mid-career-pay
Petroleum Engineering,93200.0,187300.0
Operations Research & Industrial Engineering,84800.0,170400.0
Electrical Engineering & Computer Science (EECS),108500.0,159300.0
Interaction Design,68300.0,155800.0
Public Accounting,59800.0,147700.0
Operations Research,83500.0,147400.0
Applied Economics and Management,66100.0,146400.0
Business Computing (BC),73000.0,143600.0
Actuarial Mathematics,64300.0,143400.0
Electrical Power Engineering,76100.0,142600.0
Information & Computer Science,58600.0,140900.0
Aeronautics & Astronautics,77600.0,139600.0
Systems Engineering,77700.0,139200.0
Econometrics,64200.0,139000.0
Pharmacy,68600.0,138700.0
Aerospace Studies,55800.0,136600.0
Building Science,53800.0,135900.0
Chemical Engineering,76900.0,135900.0
Cognitive Science,68700.0,135200.0
Actuarial Science,67700.0,134400.0
Political Economy,65100.0,133500.0
Computer Systems Engineering,79000.0,133200.0
Electrical & Computer Engineering (ECE),78100.0,131600.0
Computer Science (CS) & Engineering,79400.0,131300.0
Marine Engineering,79900.0,131300.0
